timestamp,coordinates,altitude,data_type,speed,motion,battery_level,battery_state,accuracy,wifi,timezone
1562995958.0,"4.361506300051102,52.010299726437786",0,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562995991.0,"4.36156924814392,52.010315232958654",0,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996018.0,"4.361520633105525,52.01030567758904",3,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996424.0,"4.361934280027041,52.01012018607185",3,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996690.0,"4.3618473596911524,52.010192479986706",2,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996732.0,"4.36178717762638,52.0102188829817",2,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1563852955.0,"4.3617543205659475,52.01021431484447",0,Point,0,None,0.63,charging,"10,4",VlinderGR,Z
1563852975.0,"4.361670250077137,52.010262510787705",0,Point,0,None,0.63,charging,"10,4",VlinderGR,Z
1563853491.0,"4.361627837647089,52.01035085604713",0,Point,0,walking,0.68,charging,"10,4",VlinderGR,Z
1563854961.0,"4.361742082987317,52.01018204451726",0,Point,1,walking,0.79,charging,"10,4",VlinderGR,Z
1563855139.0,"4.361673183743247,52.010238831911245",0,Point,0,None,0.8,charging,"10,4",VlinderGR,Z
1563855496.0,"4.361607888717541,52.01028514192627",0,Point,0,stationary,0.82,charging,"10,3",VlinderGR,Z
1563857792.0,"4.36154921539534,52.01021825433896",3,Point,1,None,0.94,charging,"10,3",VlinderGR,Z
1563857795.0,"4.361490290616044,52.01017567427085",3,Point,0,None,0.94,charging,"10,3",VlinderGR,Z
1563857798.0,"4.361426169056782,52.01014407449589",2,Point,1,None,0.94,charging,"10,4",VlinderGR,Z
1563857805.0,"4.361448297281155,52.01007416942344",1,Point,1,None,0.95,charging,"10,4",VlinderGR,Z
1563857813.0,"4.361525829885491,52.01006570370124",1,Point,0,None,0.95,charging,"10,4",VlinderGR,Z
1563857827.0,"4.361479897056111,52.01013850053028",1,Point,1,None,0.95,charging,"10,4",VlinderGR,Z
1563858163.0,"4.361494900662788,52.01021611695365",0,Point,1,walking,0.95,unplugged,"10,4",VlinderGR,Z
1563858225.0,"4.361301111061462,52.01048152991758",0,Point,0,stationary,0.95,unplugged,"10,3",VlinderGR,Z
1563859305.0,"4.361379146579989,52.010340001482525",0,Point,1,walking,0.78,unplugged,"10,3",VlinderGR,Z
1563859620.0,"4.361620126296171,52.00998213612662",0,Point,0,walking,0.78,unplugged,"10,3",VlinderGR,Z
1563859624.0,"4.361525075514206,52.010138668168345",0,Point,1,walking,0.78,unplugged,"10,3",VlinderGR,Z
1563859741.0,"4.361607218165287,52.01011746195332",1,Point,0,None,0.74,unplugged,"10,4",VlinderGR,Z
1563859790.0,"4.361567068849095,52.010186528835455",1,Point,1,stationary,0.74,unplugged,"10,4",VlinderGR,Z
1563888600.0,"4.361655581746587,52.010163771968344",3,Point,0,walking,1.0,unplugged,"10,3",VlinderGR,Z
1563888788.0,"4.361600847918877,52.010233677040794",3,Point,0,stationary,1.0,unplugged,"10,4",VlinderGR,Z
1563888884.0,"4.361538570378312,52.010279609870175",3,Point,0,None,0.98,unplugged,"10,4",VlinderGR,Z
1563888911.0,"4.361502276737579,52.010305593770006",2,Point,0,None,0.98,unplugged,"10,4",VlinderGR,Z
1563888912.0,"4.361455505717882,52.010362967897215",2,Point,0,stationary,0.98,unplugged,"10,4",VlinderGR,Z
1563888934.0,"4.361518872905859,52.01031234120206",1,Point,0,None,0.98,unplugged,"10,4",VlinderGR,Z
1563888940.0,"4.361594729129561,52.010267162743965",1,Point,1,None,0.98,unplugged,"10,4",VlinderGR,Z
1563888943.0,"4.361672177914866,52.01022927654163",1,Point,0,None,0.98,unplugged,"10,4",VlinderGR,Z
1563889253.0,"4.3615926336537685,52.01025132094697",1,Point,0,None,0.97,unplugged,"10,4",VlinderGR,Z
