timestamp,coordinates,altitude,data_type,speed,motion,battery_level,battery_state,accuracy,wifi,timezone
1562995958.0,"4.361506300051102,52.010299726437786",0,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996018.0,"4.361520633105525,52.01030567758904",3,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996424.0,"4.361934280027041,52.01012018607185",3,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996690.0,"4.3618473596911524,52.010192479986706",2,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1562996732.0,"4.36178717762638,52.0102188829817",2,Point,0,stationary,1.0,charging,"10,4",VlinderGR,Z
1563852975.0,"4.361670250077137,52.010262510787705",0,Point,0,None,0.63,charging,"10,4",VlinderGR,Z
1563853491.0,"4.361627837647089,52.01035085604713",0,Point,0,walking,0.68,charging,"10,4",VlinderGR,Z
1563854961.0,"4.361742082987317,52.01018204451726",0,Point,1,walking,0.79,charging,"10,4",VlinderGR,Z
1563855141.0,"4.361665723849424,52.010250985670844",0,Point,0,None,0.8,charging,"10,4",VlinderGR,Z
1563855508.0,"4.36158634722639,52.01032629707084",2,Point,0,walking,0.82,charging,"10,3",VlinderGR,Z
1563857037.0,"4.361574193466791,52.010245914619425",2,Point,0,None,0.92,charging,"10,4",VlinderGR,Z
1563857795.0,"4.361490290616044,52.01017567427085",3,Point,0,None,0.94,charging,"10,3",VlinderGR,Z
1563857800.0,"4.361396580938586,52.0101176715009",1,Point,1,None,0.95,charging,"10,4",VlinderGR,Z
1563857808.0,"4.361496996138581,52.01005568732695",1,Point,1,stationary,0.95,charging,"10,4",VlinderGR,Z
1563857827.0,"4.361479897056111,52.01013850053028",1,Point,1,None,0.95,charging,"10,4",VlinderGR,Z
1563858163.0,"4.361494900662788,52.01021611695365",0,Point,1,walking,0.95,unplugged,"10,4",VlinderGR,Z
1563858229.0,"4.36129415408183,52.01050261040405",0,Point,0,walking,0.95,unplugged,"10,3",VlinderGR,Z
1563859305.0,"4.361379146579989,52.010340001482525",0,Point,1,walking,0.78,unplugged,"10,3",VlinderGR,Z
1563859624.0,"4.361525075514206,52.010138668168345",0,Point,1,walking,0.78,unplugged,"10,3",VlinderGR,Z
1563859747.0,"4.361648121852764,52.01012052134798",2,Point,0,None,0.74,unplugged,"10,4",VlinderGR,Z
1563859790.0,"4.361567068849095,52.010186528835455",1,Point,1,stationary,0.74,unplugged,"10,4",VlinderGR,Z
1563888600.0,"4.361655581746587,52.010163771968344",3,Point,0,walking,1.0,unplugged,"10,3",VlinderGR,Z
1563888788.0,"4.361600847918877,52.010233677040794",3,Point,0,stationary,1.0,unplugged,"10,4",VlinderGR,Z
1563888891.0,"4.361514011402019,52.01029830151425",3,Point,0,None,0.98,unplugged,"10,4",VlinderGR,Z
1563888912.0,"4.361455505717882,52.010362967897215",2,Point,0,stationary,0.98,unplugged,"10,4",VlinderGR,Z
1563888937.0,"4.3615440186153736,52.0102971280478",1,Point,0,None,0.98,unplugged,"10,4",VlinderGR,Z
1563888940.0,"4.361594729129561,52.010267162743965",1,Point,1,None,0.98,unplugged,"10,4",VlinderGR,Z
1563889313.0,"4.361499175433406,52.01015903619305",2,Point,1,walking,0.94,unplugged,"10,4",VlinderGR,Z
